Chemical,Label
NCGC00261364-01,0.028745
NCGC00261392-01,0.128623
NCGC00261638-01,0.527631
NCGC00261820-01,0.060344
NCGC00261808-01,0.266486
NCGC00260790-01,0.124762
NCGC00260940-01,0.192713
NCGC00261081-01,0.070826
NCGC00261133-01,0.621229
NCGC00261399-01,0.101826
NCGC00260696-01,0.367030
NCGC00261903-01,0.266383
NCGC00261178-01,0.061012
NCGC00261568-01,0.417881
NCGC00260830-01,0.012310
NCGC00261113-01,0.077732
NCGC00261327-01,0.112039
NCGC00261602-01,0.346878
NCGC00260858-01,0.674155
NCGC00261071-01,0.028117
NCGC00261076-01,0.032839
NCGC00261192-01,0.033084
NCGC00261495-01,0.000088
NCGC00261577-01,0.113829
NCGC00261510-01,0.048392
NCGC00261679-01,0.576259
NCGC00261941-01,0.540768
NCGC00261343-01,0.010001
NCGC00261607-01,0.197407
NCGC00261782-01,0.414512
NCGC00261914-01,0.019931
NCGC00261475-01,0.381210
NCGC00261764-01,0.250007
NCGC00261802-01,0.224992
NCGC00260795-01,0.243618
NCGC00261352-01,0.591130
NCGC00261009-01,0.719596
NCGC00261944-01,0.583301
NCGC00261166-01,0.525180
NCGC00261332-01,0.565608
NCGC00261333-01,0.447504
NCGC00261260-01,0.287236
NCGC00261915-01,0.416029
NCGC00261682-01,0.273301
NCGC00261049-01,0.191044
NCGC00260910-01,0.102525
NCGC00261272-01,0.529090
NCGC00260708-01,0.005349
NCGC00261390-01,0.004450
NCGC00260948-01,0.009875
NCGC00261840-01,0.000283
NCGC00260881-01,0.001140
NCGC00261153-01,0.013286
NCGC00261406-01,0.006308
NCGC00261053-01,0.025619
NCGC00261129-01,0.010328
NCGC00261381-01,0.080914
NCGC00261426-01,0.398300
NCGC00260979-01,0.265536
NCGC00260993-01,0.080914
NCGC00261108-01,0.054501
NCGC00261441-01,0.064999
NCGC00261877-01,0.390612
NCGC00260815-01,0.135897
NCGC00261542-01,0.097046
NCGC00261958-01,0.007541
NCGC00261787-01,0.036904
NCGC00261065-01,0.342589
NCGC00261804-01,0.484969
NCGC00260875-01,0.025642
NCGC00261451-01,0.143846
NCGC00261739-01,0.109957
NCGC00261382-01,0.026249
NCGC00261663-01,0.001511
NCGC00260892-01,0.013111
NCGC00261297-01,0.228010
NCGC00261321-01,0.387733
NCGC00261446-01,0.246183
NCGC00261474-01,0.390167
NCGC00260834-01,0.000869
NCGC00260840-01,0.020583
NCGC00260947-01,0.127341
NCGC00261080-01,0.003776
NCGC00261563-01,0.004432
NCGC00261873-01,0.004938
NCGC00260803-01,0.673147
NCGC00260833-01,0.167251
NCGC00261008-01,0.010297
NCGC00261155-01,0.036565
NCGC00261643-01,0.061500
NCGC00261037-01,0.082392
NCGC00261126-01,0.450707
NCGC00260871-01,0.391438
NCGC00260713-01,0.024812
NCGC00261487-01,0.001297
NCGC00261545-01,0.017434
NCGC00261480-01,0.166155
NCGC00261838-01,0.065208
NCGC00261627-01,0.000438
NCGC00261639-01,0.001282
NCGC00261177-01,0.018496
NCGC00260692-01,0.101309
NCGC00260775-01,0.003330
NCGC00260876-01,0.001287
NCGC00261598-01,0.003374
NCGC00260707-01,0.003027
NCGC00261554-01,0.392490
NCGC00261713-01,0.630791
NCGC00261737-01,0.351079
NCGC00261882-01,0.425870
NCGC00261933-01,0.029066
NCGC00261201-01,0.017153
NCGC00261398-01,0.001655
NCGC00261601-01,0.000035
NCGC00261003-01,0.004327
NCGC00261019-01,0.005610
NCGC00261519-01,0.019815
NCGC00261732-01,0.026880
NCGC00261718-01,0.008793
NCGC00260743-01,0.001963
NCGC00260751-01,0.000840
NCGC00260867-01,0.006672
NCGC00260982-01,0.012441
NCGC00261176-01,0.010651
NCGC00261289-01,0.006160
NCGC00261440-01,0.064644
NCGC00261657-01,0.002422
NCGC00260822-01,0.177995
NCGC00261142-01,0.005769
NCGC00261582-01,0.001016
NCGC00261825-01,0.171219
NCGC00261833-01,0.064406
NCGC00261835-01,0.256504
NCGC00261860-01,0.005510
NCGC00261906-01,0.231626
NCGC00261916-01,0.219850
NCGC00261939-01,0.100783
NCGC00261869-01,0.060795
NCGC00261163-01,0.010485
NCGC00261653-01,0.000437
NCGC00261248-01,0.095570
NCGC00260770-01,0.024510
NCGC00261013-01,0.116431
NCGC00261910-01,0.069113
NCGC00261686-01,0.003646
NCGC00261147-01,0.001690
NCGC00261578-01,0.000221
NCGC00261336-01,0.047770
NCGC00261593-01,0.034032
NCGC00260821-01,0.002289
NCGC00261007-01,0.002531
NCGC00261246-01,0.014985
NCGC00261949-01,0.006353
NCGC00260890-01,0.063200
NCGC00261294-01,0.143444
NCGC00261330-01,0.307753
NCGC00261470-01,0.230547
NCGC00260691-01,0.025329
NCGC00261693-01,0.060182
NCGC00261293-01,0.003347
NCGC00261018-01,0.006352
NCGC00261075-01,0.032257
NCGC00261150-01,0.026964
NCGC00261767-01,0.055475
NCGC00261824-01,0.028774
NCGC00261146-01,0.018060
NCGC00260817-01,0.024825
NCGC00261161-01,0.120387
NCGC00260728-01,0.129408
NCGC00261286-01,0.591265
NCGC00261254-01,0.002423
NCGC00261261-01,0.016906
NCGC00261691-01,0.018330
NCGC00261921-01,0.004688
NCGC00260962-01,0.090389
NCGC00261028-01,0.483227
NCGC00261349-01,0.203171
NCGC00261583-01,0.647088
NCGC00261672-01,0.232029
NCGC00261620-01,0.570792
NCGC00261141-01,0.038266
NCGC00261752-01,0.093489
NCGC00261828-01,0.180562
NCGC00261913-01,0.015620
NCGC00261473-01,0.034325
NCGC00356953-01,0.196091
NCGC00357009-01,0.003879
NCGC00357188-01,0.125575
NCGC00357201-01,0.152358
NCGC00357189-01,0.001443
NCGC00357163-01,0.012950
NCGC00357001-01,0.001892
NCGC00357030-01,0.021005
NCGC00357123-01,0.033598
NCGC00357004-01,0.019980
NCGC00357103-01,0.010502
NCGC00357289-01,0.447005
NCGC00357082-01,0.290927
NCGC00356999-01,0.029424
NCGC00357116-01,0.044377
NCGC00357010-01,0.041682
NCGC00357171-01,0.000277
NCGC00356964-01,0.030536
NCGC00356995-01,0.054034
NCGC00357062-01,0.180794
NCGC00357205-01,0.143037
NCGC00357185-01,0.100245
NCGC00357028-01,0.447544
NCGC00357064-01,0.011362
NCGC00357196-01,0.201017
NCGC00357271-01,0.480542
NCGC00357198-01,0.000161
NCGC00357079-01,0.000408
NCGC00356984-01,0.004003
NCGC00357080-01,0.015673
NCGC00357173-01,0.004482
NCGC00357277-01,0.031737
NCGC00357240-01,0.000082
NCGC00357145-01,0.030193
NCGC00357157-01,0.015986
NCGC00357160-01,0.000890
NCGC00357107-01,0.000171
NCGC00357106-01,0.001026
NCGC00357047-01,0.000042
NCGC00357174-01,0.000217
NCGC00357090-01,0.000044
NCGC00357204-01,0.022430
NCGC00357214-01,0.016313
NCGC00357124-01,0.004472
NCGC00356983-01,0.079644
NCGC00357092-01,0.001126
NCGC00357042-01,0.000549
NCGC00357036-01,0.000393
NCGC00357089-01,0.003006
NCGC00357170-01,0.001167
NCGC00357132-01,0.037246
NCGC00357265-01,0.002601
NCGC00357260-01,0.001899
NCGC00357023-01,0.008993
NCGC00357114-01,0.076634
NCGC00357033-01,0.002462
NCGC00357120-01,0.002582
NCGC00356963-01,0.004367
NCGC00357055-01,0.539533
NCGC00357139-01,0.024700
NCGC00357026-01,0.043771
NCGC00357242-01,0.041545
NCGC00357161-01,0.041808
NCGC00357279-01,0.005000
NCGC00357288-01,0.151309
NCGC00356973-01,0.003922
NCGC00357143-01,0.004415
NCGC00357182-01,0.005505
NCGC00356971-01,0.000780
NCGC00357084-01,0.001964
NCGC00357112-01,0.002203
NCGC00356962-01,0.010953
NCGC00356993-01,0.006896
NCGC00357284-01,0.158710
NCGC00357046-01,0.017487
NCGC00357000-01,0.024122
NCGC00357012-01,0.115933
NCGC00356939-01,0.016223
NCGC00356955-01,0.004428
NCGC00357262-01,0.019366
NCGC00356991-01,0.040918
NCGC00357203-01,0.002841
NCGC00357049-01,0.002362
NCGC00357164-01,0.000536
NCGC00357073-01,0.002699
NCGC00357043-01,0.007113
NCGC00357269-01,0.001730
NCGC00357266-01,0.038309
NCGC00357076-01,0.001888
NCGC00357153-01,0.289211
NCGC00357138-01,0.002181
NCGC00357071-01,0.001318
NCGC00357274-01,0.003518
NCGC00356981-01,0.030078
NCGC00357278-01,0.003001
NCGC00357113-01,0.067067
NCGC00357218-01,0.109615
NCGC00357048-01,0.002541
NCGC00357162-01,0.001420
NCGC00356941-01,0.000742
NCGC00357184-01,0.010455
NCGC00357238-01,0.028553
NCGC00357220-01,0.052618
NCGC00357252-01,0.022665
NCGC00357159-01,0.004356
NCGC00356947-01,0.012702
NCGC00357063-01,0.001822
NCGC00356982-01,0.009050
NCGC00357219-01,0.040375
NCGC00357037-01,0.006192
NCGC00356975-01,0.019574
NCGC00357169-01,0.096020
NCGC00357022-01,0.038503
NCGC00357165-01,0.012217
NCGC00357122-01,0.315800
NCGC00357212-01,0.262549
NCGC00357263-01,0.066532
NCGC00357052-01,0.070040
NCGC00356952-01,0.416922
NCGC00357225-01,0.125052
NCGC00356944-01,0.000861
NCGC00357053-01,0.036738
NCGC00357202-01,0.053068
NCGC00357013-01,0.537162
NCGC00357131-01,0.032633
NCGC00357127-01,0.080866
NCGC00357147-01,0.062134
NCGC00357267-01,0.000347
NCGC00356979-01,0.013879
NCGC00357179-01,0.084941
NCGC00356945-01,0.000762
NCGC00357068-01,0.031361
NCGC00357002-01,0.030854
NCGC00356974-01,0.003052
NCGC00357109-01,0.632674
NCGC00356988-01,0.621022
NCGC00357117-01,0.541940
NCGC00357239-01,0.001839
NCGC00356961-01,0.061750
NCGC00356966-01,0.037626
NCGC00356996-01,0.001906
NCGC00356950-01,0.093093
NCGC00356969-01,0.019156
NCGC00357050-01,0.000185
NCGC00357258-01,0.036631
NCGC00357186-01,0.003866
NCGC00357115-01,0.002012
NCGC00356940-01,0.046035
NCGC00357130-01,0.005538
NCGC00356959-01,0.004866
NCGC00356985-01,0.000662
NCGC00357125-01,0.004682
NCGC00357270-01,0.000912
NCGC00357031-01,0.000627
NCGC00357137-01,0.005082
NCGC00357102-01,0.006096
NCGC00357228-01,0.094767
NCGC00356965-01,0.549085
NCGC00357151-01,0.067496
NCGC00357280-01,0.555120
NCGC00357097-01,0.321685
NCGC00357272-01,0.000096
NCGC00357229-01,0.014723
NCGC00357200-01,0.008137
NCGC00357273-01,0.097780
NCGC00357088-01,0.000857
NCGC00357101-01,0.002338
NCGC00357287-01,0.006816
NCGC00357253-01,0.013944
NCGC00357177-01,0.029851
NCGC00357152-01,0.003651
NCGC00357140-01,0.580526
NCGC00357086-01,0.000657
NCGC00357150-01,0.002898
NCGC00357040-01,0.001149
NCGC00357172-01,0.011560
NCGC00357135-01,0.003788
NCGC00357207-01,0.008561
NCGC00356990-01,0.002577
NCGC00357276-01,0.005864
NCGC00357016-01,0.000994
NCGC00357247-01,0.001751
NCGC00357286-01,0.009456
NCGC00357255-01,0.256929
NCGC00357025-01,0.091226
NCGC00357008-01,0.262737
NCGC00357128-01,0.416890
NCGC00356978-01,0.122254
NCGC00357072-01,0.532375
NCGC00357195-01,0.155361
NCGC00357215-01,0.011411
NCGC00357038-01,0.552399
NCGC00357208-01,0.012610
NCGC00357099-01,0.010452
NCGC00357007-01,0.001280
NCGC00356989-01,0.398130
NCGC00357246-01,0.299836
NCGC00357081-01,0.189216
NCGC00357281-01,0.142368
NCGC00357244-01,0.002042
NCGC00357194-01,0.020168
NCGC00357193-01,0.003994
NCGC00357006-01,0.000306
NCGC00357041-01,0.005014
NCGC00357074-01,0.005618
NCGC00357166-01,0.011807
NCGC00357070-01,0.000609
NCGC00357222-01,0.022022
NCGC00357245-01,0.034322
NCGC00357217-01,0.001133
NCGC00357015-01,0.000374
NCGC00357261-01,0.013089
NCGC00357060-01,0.002058
NCGC00357104-01,0.086099
NCGC00357176-01,0.053041
NCGC00357187-01,0.133237
NCGC00357066-01,0.164965
NCGC00357216-01,0.054979
NCGC00357148-01,0.610429
NCGC00357078-01,0.049173
NCGC00357027-01,0.000878
NCGC00357180-01,0.584047
NCGC00356946-01,0.564414
NCGC00356970-01,0.212039
NCGC00357191-01,0.207057
NCGC00357077-01,0.136592
NCGC00357069-01,0.002705
NCGC00356958-01,0.257084
NCGC00357121-01,0.327099
NCGC00357067-01,0.170289
NCGC00357243-01,0.624488
NCGC00357100-01,0.006641
NCGC00356960-01,0.002777
NCGC00357136-01,0.001695
NCGC00357158-01,0.003387
NCGC00357126-01,0.572667
NCGC00357110-01,0.214233
NCGC00357178-01,0.725979
NCGC00357167-01,0.555655
NCGC00357096-01,0.586121
NCGC00357230-01,0.598486
NCGC00357257-01,0.009204
NCGC00356951-01,0.007486
NCGC00357241-01,0.002632
NCGC00357024-01,0.067893
NCGC00357233-01,0.067893
NCGC00357197-01,0.005185
NCGC00357142-01,0.015770
NCGC00357231-01,0.017203
NCGC00357044-01,0.237743
NCGC00357209-01,0.574857
NCGC00357045-01,0.424208
NCGC00357075-01,0.128348
NCGC00356938-01,0.200492
NCGC00357065-01,0.017447
NCGC00357094-01,0.023323
NCGC00357083-01,0.028267
NCGC00357085-01,0.061321
NCGC00357236-01,0.066229
NCGC00357035-01,0.001271
NCGC00357108-01,0.012576
NCGC00357235-01,0.055158
NCGC00357224-01,0.138734
NCGC00357211-01,0.002825
NCGC00357039-01,0.001839
NCGC00357264-01,0.002893
NCGC00357285-01,0.094539
NCGC00357032-01,0.011269
NCGC00357059-01,0.060118
NCGC00357061-01,0.074654
NCGC00357190-01,0.088413
NCGC00356943-01,0.082541
NCGC00357005-01,0.025007
NCGC00357251-01,0.110755
NCGC00356992-01,0.227313
NCGC00357254-01,0.001358
NCGC00357199-01,0.010197
NCGC00356957-01,0.140964
NCGC00356968-01,0.059903
NCGC00357268-01,0.208033
NCGC00357256-01,0.043124
NCGC00357141-01,0.007543
NCGC00357093-01,0.010492
NCGC00357087-01,0.069843
NCGC00357223-01,0.153587
NCGC00357119-01,0.018927
NCGC00357003-01,0.083633
NCGC00357275-01,0.258115
NCGC00357014-01,0.388234
NCGC00357011-01,0.678801
NCGC00356976-01,0.196604
NCGC00357175-01,0.459685
NCGC00357021-01,0.000488
NCGC00357221-01,0.088486
NCGC00356972-01,0.000438
NCGC00357133-01,0.001654
NCGC00357056-01,0.024638
NCGC00356980-01,0.007694
NCGC00357206-01,0.084104
NCGC00357250-01,0.034808
NCGC00356997-01,0.021543
NCGC00356998-01,0.007076
NCGC00357282-01,0.118169
NCGC00356948-01,0.018721
NCGC00357054-01,0.279227
NCGC00356956-01,0.004307
NCGC00356994-01,0.224963
NCGC00357234-01,0.157227
NCGC00357111-01,0.591465
NCGC00357155-01,0.219414
NCGC00357098-01,0.128795
NCGC00357156-01,0.163219
NCGC00357019-01,0.028824
NCGC00357095-01,0.040924
NCGC00357226-01,0.182683
NCGC00357249-01,0.416331
NCGC00357017-01,0.211117
NCGC00357259-01,0.025851
NCGC00357051-01,0.451777
NCGC00356954-01,0.000983
NCGC00357020-01,0.044439
NCGC00357168-01,0.009505
NCGC00357283-01,0.005587
NCGC00357210-01,0.046136
NCGC00357118-01,0.097161
NCGC00357144-01,0.003882
